epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,62.3929,1.71128,0.44762,0.94915,1.44506,0.00332591,0.00332591,0.00332591
2,124.911,1.47059,0.48913,0.96782,1.35663,0.00643949,0.00643949,0.00643949
3,190.749,1.45058,0.40972,0.95472,1.56711,0.00933307,0.00933307,0.00933307
4,253.769,1.46413,0.53622,0.97952,1.21214,0.00901,0.00901,0.00901
5,317.566,1.30806,0.5528,0.97827,1.18208,0.00868,0.00868,0.00868
6,381.57,1.24482,0.55057,0.97868,1.20849,0.00835,0.00835,0.00835
7,447.918,1.23043,0.55057,0.97701,1.21859,0.00802,0.00802,0.00802
8,513.189,1.20051,0.59501,0.98272,1.09201,0.00769,0.00769,0.00769
9,577.57,1.16294,0.59822,0.98468,1.06313,0.00736,0.00736,0.00736
10,640.853,1.14394,0.60602,0.98746,1.04982,0.00703,0.00703,0.00703
11,703.197,1.13608,0.60839,0.9869,1.0544,0.0067,0.0067,0.0067
12,766.735,1.10876,0.61159,0.9844,1.04501,0.00637,0.00637,0.00637
13,831.262,1.09171,0.61786,0.98788,1.01958,0.00604,0.00604,0.00604
14,895.496,1.08173,0.62622,0.98621,0.99902,0.00571,0.00571,0.00571
15,966.912,1.06773,0.63653,0.98913,0.97326,0.00538,0.00538,0.00538
16,1037.71,1.05026,0.63458,0.99025,0.96965,0.00505,0.00505,0.00505
17,1108.29,1.0394,0.63945,0.98872,0.96361,0.00472,0.00472,0.00472
18,1177.05,1.02781,0.64433,0.99011,0.94586,0.00439,0.00439,0.00439
19,1242.67,1.01376,0.64684,0.98983,0.933,0.00406,0.00406,0.00406
20,1308.2,1.00644,0.65102,0.99011,0.9376,0.00373,0.00373,0.00373
21,1377.15,0.99978,0.65325,0.99234,0.92056,0.0034,0.0034,0.0034
22,1443.87,0.98365,0.65687,0.98983,0.93635,0.00307,0.00307,0.00307
23,1510.57,0.96806,0.66091,0.99234,0.92211,0.00274,0.00274,0.00274
24,1578.4,0.95821,0.66244,0.99234,0.90278,0.00241,0.00241,0.00241
25,1644.18,0.94641,0.6669,0.9915,0.92941,0.00208,0.00208,0.00208
26,1710.47,0.9322,0.66551,0.99108,0.89895,0.00175,0.00175,0.00175
27,1779.91,0.91826,0.67024,0.99136,0.88586,0.00142,0.00142,0.00142
28,1850.18,0.9077,0.66955,0.99192,0.88915,0.00109,0.00109,0.00109
29,1920.27,0.89836,0.66996,0.99192,0.89463,0.00076,0.00076,0.00076
30,1989.17,0.88477,0.67275,0.9922,0.89464,0.00043,0.00043,0.00043
